Title,ID,Rating,Release Year,Duration
1. The Dark Knight : Le Chevalier noir,tt0468569,"9,0",2008,2h 32m
2. Inception,tt1375666,"8,8",2h 32m,2h 28m
3. Interstellar,tt0816692,"8,7",Tous publics,2h 49m
4. Le Seigneur des anneaux : La Communauté de l'anneau,tt0120737,"8,9",2010,2h 58m
5. Le Seigneur des anneaux : Le Retour du roi,tt0167260,"9,0",2h 28m,3h 21m
6. The Dark Knight Rises,tt1345836,"8,4",Tous publics,2h 44m
7. Le Seigneur des anneaux : Les Deux Tours,tt0167261,"8,8",2014,2h 59m
8. Django Unchained,tt1853728,"8,5",2h 49m,2h 45m
9. Le Loup de Wall Street,tt0993846,"8,2",Tous publics,3h
10. Inglourious Basterds,tt0361748,"8,4",2001,2h 33m
11. Batman Begins,tt0372784,"8,2",2h 58m,2h 20m
12. Joker,tt7286456,"8,3",Tous publics,2h 2m
13. Shutter Island,tt1130884,"8,2",2003,2h 18m
14. Avengers,tt0848228,"8,0",3h 21m,2h 23m
15. Le Prestige,tt0482571,"8,5",Tous publics avec avertissement,2h 10m
16. Les Infiltrés,tt0407887,"8,5",2012,2h 31m
17. Avatar,tt0499549,"7,9",2h 44m,2h 42m
18. Avengers: Endgame,tt4154796,"8,4",Tous publics,3h 1m
19. Les Gardiens de la Galaxie,tt2015381,"8,0",2002,2h 1m
20. Avengers: Infinity War,tt4154756,"8,4",2h 59m,2h 29m
21. Pirates des Caraïbes : La Malédiction du Black Pearl,tt0325980,"8,1",Tous publics avec avertissement,2h 23m
22. WALL·E,tt0910970,"8,4",2012,1h 38m
23. Kill Bill: Volume I,tt0266697,"8,2",2h 45m,1h 51m
24. V pour Vendetta,tt0434409,"8,1",12,2h 12m
25. Deadpool,tt1431045,"8,0",2013,1h 48m
26. Là-haut,tt1049413,"8,3",3h,1h 36m
27. Iron Man,tt0371746,"7,9",12,2h 6m
28. Mad Max: Fury Road,tt1392190,"8,1",2009,2h
29. Le Monde de Nemo,tt0266543,"8,2",2h 33m,1h 40m
30. Arrête-moi si tu peux,tt0264464,"8,1",12,2h 21m
31. Eternal Sunshine of the Spotless Mind,tt0338013,"8,3",2005,1h 48m
32. Gone Girl,tt2267998,"8,1",2h 20m,2h 29m
33. No Country for Old Men,tt0477348,"8,2",Tous publics,2h 2m
34. Whiplash,tt2582802,"8,5",2019,1h 46m
35. Hunger Games,tt1392170,"7,2",2h 2m,2h 22m
36. Parasite,tt6751668,"8,5",12 avec avertissement,2h 12m
37. Monstres & Cie,tt0198781,"8,1",2010,1h 32m
38. Un homme d'exception,tt0268978,"8,2",2h 18m,2h 15m
39. Star Wars : Épisode VII - Le Réveil de la Force,tt2488496,"7,8",12,2h 18m
40. Harry Potter et les Reliques de la Mort : partie 2,tt1201607,"8,1",2012,2h 10m
41. Intouchables,tt1675434,"8,5",2h 23m,1h 52m
42. Seul sur Mars,tt3659388,"8,0",Tous publics,2h 24m
43. Le pianiste,tt0253474,"8,5",2006,2h 30m
44. Avengers : L'Ère d'Ultron,tt2395427,"7,3",2h 10m,2h 21m
45. Dune: Première partie,tt1160419,"8,0",Tous publics,2h 35m
46. Spider-Man: No Way Home,tt10872600,"8,2",2006,2h 28m
47. Thor,tt0800369,"7,0",2h 31m,1h 55m
48. Captain America : Le Soldat de l'hiver,tt1843866,"7,7",Tous publics avec avertissement,2h 16m
49. Iron Man 3,tt1300854,"7,1",2009,2h 10m
50. Captain America: First Avenger,tt0458339,"6,9",2h 42m,2h 4m
