Actor,Character
Christian Bale,Bruce Wayne/Batman
Heath Ledger,Joker
Aaron Eckhart,Harvey Dent
Michael Caine,Alfred
Leonardo DiCaprio,Cobb
Joseph Gordon-Levitt,Arthur
Elliot Page,Ariadne
Ken Watanabe,Saito
Matthew McConaughey,Cooper
Anne Hathaway,Brand
Jessica Chastain,Murph
Mackenzie Foy,Murph
Elijah Wood,Frodo
Ian McKellen,Gandalf
Orlando Bloom,Legolas
Sean Bean,Boromir
Elijah Wood,Frodo
Viggo Mortensen,Aragorn
Ian McKellen,Gandalf
Orlando Bloom,Legolas
Christian Bale,Bruce Wayne/Batman
Tom Hardy,Bane
Anne Hathaway,Selina
Gary Oldman,Commissioner Gordon
Elijah Wood,Frodo
Ian McKellen,Gandalf
Viggo Mortensen,Aragorn
Orlando Bloom,Legolas
Jamie Foxx,Django
Christoph Waltz,Dr. King Schultz
Leonardo DiCaprio,Calvin Candie
Kerry Washington,Broomhilda von Shaft
Leonardo DiCaprio,Jordan Belfort
Jonah Hill,Donnie Azoff
Margot Robbie,Naomi Lapaglia
Matthew McConaughey,Mark Hanna
Brad Pitt,Lt. Aldo Raine
Diane Kruger,Bridget von Hammersmark
Eli Roth,Sgt. Donny Donowitz
Mélanie Laurent,Shosanna Dreyfus
Christian Bale,Bruce Wayne/Batman
Michael Caine,Alfred
Ken Watanabe,Ra's Al Ghul
Liam Neeson,Ducard
Joaquin Phoenix,Arthur Fleck
Robert De Niro,Murray Franklin
Zazie Beetz,Sophie Dumond
Frances Conroy,Penny Fleck
Leonardo DiCaprio,Teddy Daniels
Emily Mortimer,Rachel 1
Mark Ruffalo,Chuck Aule
Ben Kingsley,Dr. Cawley
Robert Downey Jr.,Tony Stark/Iron Man
Chris Evans,Steve Rogers/Captain America
Scarlett Johansson,Natasha Romanoff/Black Widow
Jeremy Renner,Clint Barton/Hawkeye
Christian Bale,Alfred Borden
Hugh Jackman,Robert Angier
Scarlett Johansson,Olivia Wenscombe
Michael Caine,Cutter
Leonardo DiCaprio,Billy
Matt Damon,Colin
Jack Nicholson,Costello
Mark Wahlberg,Dignam
Sam Worthington,Jake Sully
Zoe Saldana,Neytiri
Sigourney Weaver,Dr. Grace Augustine
Michelle Rodriguez,Trudy Chacón
Robert Downey Jr.,Tony Stark/Iron Man
Chris Evans,Steve Rogers/Captain America
Mark Ruffalo,Bruce Banner/Hulk
Chris Hemsworth,Thor
Chris Pratt,Peter Quill
Vin Diesel,Groot
Bradley Cooper,Rocket
Zoe Saldana,Gamora
Robert Downey Jr.,Tony Stark/Iron Man
Chris Hemsworth,Thor
Mark Ruffalo,Bruce Banner/Hulk
Chris Evans,Steve Rogers/Captain America
Johnny Depp,Jack Sparrow
Geoffrey Rush,Barbossa
Orlando Bloom,Will Turner
Keira Knightley,Elizabeth Swann
Ben Burtt,WALL·E/M-O
Elissa Knight,EVE
Jeff Garlin,Captain
Fred Willard,Shelby Forthright - BNL CEO
Uma Thurman,The Bride
David Carradine,Bill
Daryl Hannah,Elle Driver
Michael Madsen,Budd
Hugo Weaving,V/William Rookwood
Natalie Portman,Evey
Rupert Graves,Dominic
Stephen Rea,Finch
Ryan Reynolds,Wade/Deadpool
Morena Baccarin,Vanessa
T.J. Miller,Weasel
Ed Skrein,Ajax
Edward Asner,Carl Fredricksen
Jordan Nagai,Russell
John Ratzenberger,Construction Foreman Tom
Christopher Plummer,Charles Muntz
Robert Downey Jr.,Tony Stark
Gwyneth Paltrow,Pepper Potts
Terrence Howard,Rhodey
Jeff Bridges,Obadiah Stane
Tom Hardy,Max Rockatansky
Charlize Theron,Imperator Furiosa
Nicholas Hoult,Nux
Zoë Kravitz,Toast the Knowing
Albert Brooks,Marlin
Ellen DeGeneres,Dory
Alexander Gould,Nemo
Willem Dafoe,Gill
Leonardo DiCaprio,Frank Abagnale Jr.
Tom Hanks,Carl Hanratty
Christopher Walken,Frank Abagnale
Martin Sheen,Roger Strong
Jim Carrey,Joel Barish
Kate Winslet,Clementine Kruczynski
Tom Wilkinson,Dr. Mierzwiak
Gerry Robert Byrne,Train Conductor
Ben Affleck,Nick Dunne
Rosamund Pike,Amy Dunne
Neil Patrick Harris,Desi Collings
Tyler Perry,Tanner Bolt
Tommy Lee Jones,Ed Tom Bell
Javier Bardem,Anton Chigurh
Josh Brolin,Llewelyn Moss
Woody Harrelson,Carson Wells
Miles Teller,Andrew
J.K. Simmons,Fletcher
Melissa Benoist,Nicole
Paul Reiser,Jim Neimann
Jennifer Lawrence,Katniss Everdeen
Josh Hutcherson,Peeta Mellark
Liam Hemsworth,Gale Hawthorne
Stanley Tucci,Caesar Flickerman
Song Kang-ho,Ki Taek
Lee Sun-kyun,Dong Ik
Cho Yeo-jeong,Yeon Kyo
Choi Woo-sik,Ki Woo
Billy Crystal,Mike
John Goodman,Sullivan
Mary Gibbs,Boo
Steve Buscemi,Randall
Russell Crowe,John Nash
Ed Harris,Parcher
Jennifer Connelly,Alicia Nash
Christopher Plummer,Dr. Rosen
Daisy Ridley,Rey
